finding_id,severity,confidence,status,category,title,description,evidence,file,start_line,end_line,affected_flow,user_impact,technical_impact,recommended_fix,verification_method,dependencies,risk_of_fix
SEC-001,CRITICAL,0.99,SECURITY_RISK,security,تصعيد ذاتي إلى admin,المالك يستطيع تعديل role الذي تعتمد عليه isAdmin,firestore.rules:6-18,firestore.rules,6,18,admin,سيطرة إدارية,خرق صلاحيات,حماية الحقول أو Custom Claims,Rules emulator,,عال
SEC-002,CRITICAL,0.99,SECURITY_RISK,privacy,قراءة جميع users,أي authenticated يقرأ كل user documents,firestore.rules:12-18,firestore.rules,12,18,profile/social,كشف بيانات ورموز,خرق خصوصية,owner/admin read وفصل الأسرار,Rules tests,schema,عال
SEC-003,CRITICAL,1.0,SECURITY_RISK,storage,Storage wildcard شامل,fallback يسمح read/write لكل authenticated,storage.rules:28-30,storage.rules,28,30,media/APK,قراءة أو استبدال وسائط,tampering/data loss,قواعد path/owner/type/size,Storage emulator,,عال
SEC-004,CRITICAL,1.0,SECURITY_RISK,secrets,Credentials ثابتة ومتتبعة,مواقع server/client/live test؛ القيم منقحة,make_admin.js:8-16; main.js:6; instagram_service.dart:19-20,functions/make_admin.js,8,16,providers/admin,اختراق وتكلفة,credential compromise,تدوير وSecret Manager وتنظيف history,secret scan + rotation,owners,عال
SEC-005,CRITICAL,0.98,SECURITY_RISK,backend,Endpoints حساسة بلا تفويض,AI/webhook/media/WhatsApp بلا auth أو role أو signature كاف,"functions/main.js:797-854,1980-2197,2610-2899",functions/main.js,797,2899,backend,تعديل وتكلفة,unauthorized writes,auth+role+AppCheck+rate limit,negative tests,clients,عال
SEC-006,HIGH,1.0,SECURITY_RISK,app-check,Debug provider في release,debug providers دون build guard,lib/main.dart:88-98,lib/main.dart,88,98,startup,تجاوز attestation,abuse,providers حسب build,release inspection,Firebase,عال
SEC-007,HIGH,0.99,SECURITY_RISK,oauth,OAuth state/exchange غير آمن,query secret وstate متوقع وPKCE ناقص,instagram_service.dart:206-417,lib/services/instagram_service.dart,206,417,social login,token leak,OAuth compromise,server exchange + random state + PKCE,threat tests,backend,عال
SEC-008,HIGH,0.99,SECURITY_RISK,logging,سجلات قد تكشف secrets/PII,full URL/headers/body وتنقيح ناقص,"enterprise_api_client.dart:38-61,120-122",lib/core/api/enterprise_api_client.dart,38,122,network,كشف محتوى ورموز,log exfiltration,structured redaction,log snapshots,,متوسط
SEC-009,HIGH,1.0,SECURITY_RISK,idor,catalogMediaList بلا ownership,Master query دون تحقق ملكية,functions/main.js:1571-1585,functions/main.js,1571,1585,catalog media,كشف وسائط,IDOR,auth/ownership,negative auth tests,,متوسط
SEC-010,HIGH,1.0,SECURITY_RISK,otp,OTP ضعيف ومتسابق,Math.random وبلا rate limit أو transaction,functions/index.js:98-194,functions/index.js,98,194,reset,استيلاء وإساءة بريد,brute force/replay,CSPRNG+TTL+transaction+rate limit,concurrency tests,,متوسط
BUG-011,HIGH,1.0,BROKEN,backend,sizeBytes قبل التعريف,ReferenceError في job handler,functions/index.js:49,functions/index.js,49,49,jobs,فشل مهمة,server error,احسب قبل الاستخدام,unit test,,منخفض
DATA-012,HIGH,1.0,BROKEN,catalog,Bulk delete غير متسق,UI/local/cloud لا تنتظر نتائج ذرية,catalog_controller.dart:153-212,lib/controllers/catalog_controller.dart,153,212,bulk delete,عودة منتجات,cache drift/data loss,outbox/transaction/per-item,failure injection,,عال
CI-013,HIGH,1.0,BROKEN,ci,Release بلا gates,build/release بلا analyze أو test أو security,.github/workflows/build_release.yml:43-96,.github/workflows/build_release.yml,43,96,release,نشر أعطال,quality risk,أضف gates,CI dry run,,متوسط
IAP-014,HIGH,1.0,BROKEN,subscription,IAP وهمي,unavailable/products empty وbuy/restore delays,subscription_service.dart:12-37,lib/services/subscription_service.dart,12,37,payment,لا استعادة شراء,feature nonfunctional,تنفيذ أو إخفاء,store sandbox,,عال
LIVE-015,HIGH,1.0,SECURITY_RISK,tests,Live test يكتب الإنتاج,20 POST متزامنة وcredentials مضمنة,manus_live_verification_test.dart:47-132,integration_test/manus_live_verification_test.dart,47,132,integration,بيانات وتكلفة,production mutation,quarantine/emulator,CI exclusion,,عال
DI-016,HIGH,0.99,BROKEN,di,GlobalConfig غير مسجل,Firebase=false ثم Get.find غير محمي,initial_binding.dart:88-92; serpapi_master_service.dart:20-40,lib/services/serpapi_master_service.dart,20,40,search,crash,GetX not found,safe registration,unit test,,منخفض
AUTH-017,MEDIUM,1.0,BROKEN,auth,Signup يهمل الاسم,name لا يمرر للحفظ,auth_controller.dart:1329-1339,lib/controllers/auth_controller.dart,1329,1339,signup,فقد إدخال,profile incomplete,validate/save,unit test,,منخفض
AUTH-018,MEDIUM,1.0,DUPLICATE,navigation,Redirect مزدوج,home ثم main لنفس wrapper,"auth_controller.dart:603-609,680-712",lib/controllers/auth_controller.dart,603,712,signup,انتقال مزدوج,race,redirect واحد,navigation test,,منخفض
PERF-019,MEDIUM,1.0,PARTIALLY_VERIFIED,performance,Catalog eager full refresh,startup يجلب كل الصفحات,catalog_controller.dart:574-613,lib/controllers/catalog_controller.dart,574,613,startup,بطء,round trips/memory,lazy cache-first pagination,profiling,,متوسط
PERF-020,MEDIUM,1.0,BROKEN,performance,filteredProducts غير حتمي,recompute وDateTime.now في comparator,catalog_controller.dart:773-843,lib/controllers/catalog_controller.dart,773,843,catalog list,jank وترتيب متقلب,comparator risk,memoize وثبت sentinel,property tests,,متوسط
LEAK-021,MEDIUM,0.99,BROKEN,resources,موارد غير محررة,Workers وstream/controllers بلا dispose,ai_chat_screen.dart:93-150; auth_controller.dart:148-160,lib/screens/ai_chat_screen.dart,93,150,chat/auth,callbacks متكررة,memory leak,حفظ وإلغاء handles,navigation loop,,منخفض
MOCK-022,MEDIUM,1.0,BROKEN,data-quality,Mock TikTok كحقيقي,fallback mock عند غياب token أو exception,"tiktok_service.dart:321-330,448-450",lib/services/tiktok_service.dart,321,450,TikTok,معلومات مضللة,silent fallback,وسم mock/fail explicit,service tests,,متوسط
